HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
12478	UBE2E2	ubiquitin conjugating enzyme E2 E2	Approved		UbcH8, FLJ25157	3p24.3	AK057886	NM_152653	UBE2	Ubiquitin conjugating enzymes E2	102
12479	UBE2E3	ubiquitin conjugating enzyme E2 E3	Approved		UbcH9	2q31.3	AB017644	NM_006357	UBE2	Ubiquitin conjugating enzymes E2	102
32199	UBE2E4P	ubiquitin conjugating enzyme E2 E4 pseudogene	Approved		UbcM2	Xp22.2	AF136176	NG_004721	UBE2	Ubiquitin conjugating enzymes E2	102
12480	UBE2F	ubiquitin conjugating enzyme E2 F (putative)	Approved		NCE2	2q37.3	BC010549	NM_080678	UBE2	Ubiquitin conjugating enzymes E2	102
12482	UBE2G1	ubiquitin conjugating enzyme E2 G1	Approved	UBE2G	UBC7	17p13.2	BC026288	NM_003342	UBE2	Ubiquitin conjugating enzymes E2	102
12483	UBE2G2	ubiquitin conjugating enzyme E2 G2	Approved		UBC7	21q22.3	BC008351	NM_182688	UBE2	Ubiquitin conjugating enzymes E2	102
12484	UBE2H	ubiquitin conjugating enzyme E2 H	Approved		UBCH, UBC8, GID3	7q32.2	BC006277	NM_003344	UBE2	Ubiquitin conjugating enzymes E2	102
12485	UBE2I	ubiquitin conjugating enzyme E2 I	Approved		UBC9	16p13.3	D45050	NM_003345	UBE2	Ubiquitin conjugating enzymes E2	102
17598	UBE2J1	ubiquitin conjugating enzyme E2 J1	Approved		HSPC153, CGI-76, NCUBE1, UBC6	6q15	AJ245898	NM_016021	UBE2	Ubiquitin conjugating enzymes E2	102
19268	UBE2J2	ubiquitin conjugating enzyme E2 J2	Approved		Ubc6p, NCUBE2	1p36.33	AF296658	NM_058167	UBE2	Ubiquitin conjugating enzymes E2	102
4914	UBE2K	ubiquitin conjugating enzyme E2 K	Approved	HIP2	HYPG, UBC1	4p14	U58522	NM_005339	UBE2	Ubiquitin conjugating enzymes E2	102
12486	UBE2L1	ubiquitin conjugating enzyme E2 L1 (pseudogene)	Approved	UBE2L7P, UBE2L7	UBEL1, L-UBC, UBCH7N3	14q22.3		NG_002490	UBE2	Ubiquitin conjugating enzymes E2	102
12487	UBE2L2	ubiquitin conjugating enzyme E2 L2 (pseudogene)	Approved			12p12.2			UBE2	Ubiquitin conjugating enzymes E2	102
12488	UBE2L3	ubiquitin conjugating enzyme E2 L3	Approved		UBCH7	22q11.21	AJ000519	NM_198157	UBE2	Ubiquitin conjugating enzymes E2	102
12489	UBE2L4	ubiquitin conjugating enzyme E2 L4 (pseudogene)	Approved			19p13.2	Y09515	NG_001209	UBE2	Ubiquitin conjugating enzymes E2	102
13477	UBE2L5P	ubiquitin conjugating enzyme E2 L5, pseudogene	Approved	UBE2L5		13q12.3	AL161893	NG_001319	UBE2	Ubiquitin conjugating enzymes E2	102
12490	UBE2L6	ubiquitin conjugating enzyme E2 L6	Approved		UBCH8	11q12.1	AF031141, AK093462, BC032491	NM_004223	UBE2	Ubiquitin conjugating enzymes E2	102
12491	UBE2M	ubiquitin conjugating enzyme E2 M	Approved		hUbc12, UBC12	19q13.43	AB012191	NM_003969	UBE2	Ubiquitin conjugating enzymes E2	102
12492	UBE2N	ubiquitin conjugating enzyme E2 N	Approved		UbcH-ben, UBC13, MGC8489	12q22	D83004	NM_003348	UBE2	Ubiquitin conjugating enzymes E2	102
